[2025-05-20 05:54:19] LOGIN: user_id=1 | IP=172.19.0.1 | UA=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36
[2025-05-20 05:56:29] LOGIN: user_id=1 | user_name=test1 | IP=172.19.0.1 | UA=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36
[2025-05-20 06:07:43] LOGIN: user_id=1 | user_name=test1 | user_nickname=test13 | IP=172.19.0.1 | UA=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36
[2025-05-20 06:14:41] LOGIN: user_id=1 | user_name=test1 | user_nickname=test1 | IP=172.19.0.1 | UA=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36
[2025-05-20 06:27:44] LOGIN: user_id=1 | user_name=test1 | user_nickname=test1 | IP=172.19.0.1 | UA=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36
[2025-05-20 06:35:19] LOGIN: user_id=1 | user_name=test1 | user_nickname=test1234 | IP=172.19.0.1 | UA=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36
[2025-05-20 06:36:22] LOGIN: user_id=1 | user_name=test1 | user_nickname=test1234 | IP=172.19.0.1 | UA=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36
[2025-05-20 08:26:16] LOGIN: user_id=1 | user_name=test1 | user_nickname=test1234 | IP=172.19.0.1 | UA=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36
[2025-05-20 08:26:34] LOGIN: user_id=2 | user_name=test2 | user_nickname=test2 | IP=172.19.0.1 | UA=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36
[2025-05-20 08:26:50] LOGIN: user_id=6 | user_name=test3 | user_nickname=test1 | IP=172.19.0.1 | UA=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36
[2025-05-20 08:54:36] LOGIN: user_id=1 | user_name=test1 | user_nickname=test12 | IP=172.19.0.1 | UA=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36
[2025-05-20 10:41:47] LOGIN: user_id=1 | user_name=admin | user_nickname=admin | IP=172.18.0.1 | UA=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36
[2025-05-20 10:47:14] LOGIN: user_id=1 | user_name=admin | user_nickname=admin | IP=172.18.0.1 | UA=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36
[2025-05-20 10:51:41] LOGIN: user_id=1 | user_name=admin | user_nickname=admin | IP=172.18.0.1 | UA=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36
[2025-05-20 11:01:32] LOGIN: user_id=1 | user_name=admin | user_nickname=admin | IP=172.18.0.1 | UA=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36
[2025-05-20 11:20:09] LOGIN: user_id=1 | user_name=admin | user_nickname=admin | IP=172.18.0.1 | UA=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36
[2025-05-20 11:25:04] LOGIN: user_id=1 | user_name=admin | user_nickname=admin | IP=172.18.0.1 | UA=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36
